ITEM	X	Y
1	0	540.832275
2	0.002	539.796509
3	0.004	539.538696
4	0.006	539.266907
5	0.008	540.057312
6	0.01	540.308472
7	0.012	540.037598
8	0.014	539.788696
9	0.016	540.567932
10	0.018	539.793579
11	0.02	540.039185
12	0.022	540.307129
13	0.024	540.050476
14	0.026	541.092712
15	0.028	540.561401
16	0.03	540.574463
17	0.032	540.583496
18	0.034	541.34668
19	0.036	541.094788
20	0.038	541.085938
21	0.04	541.3526
22	0.042	541.347656
23	0.044	540.820984
24	0.046	541.095032
25	0.048	541.354614
26	0.05	541.086243
27	0.052	540.834839
28	0.054	540.830444
29	0.056	540.323669
30	0.058	540.567017
31	0.06	540.30835
32	0.062	540.044067
33	0.064	539.784058
34	0.066	539.53595
35	0.068	540.051025
36	0.07	539.267822
37	0.072	540.039551
38	0.074	539.262817
39	0.076	539.518555
40	0.078	540.043945
41	0.08	539.7854
42	0.082	540.306824
43	0.084	540.300293
44	0.086	540.035034
45	0.088	540.559937
46	0.09	540.05542
47	0.092	539.783325
48	0.094	540.305359
49	0.096	540.308716
50	0.098	539.788208
51	0.1	540.045166
52	0.102	540.043823
53	0.104	540.305298
54	0.106	540.817139
55	0.108	540.038635
56	0.11	540.562134
57	0.112	540.295837
58	0.114	539.792847
59	0.116	540.560669
60	0.118	540.564331
61	0.12	540.57019
62	0.122	540.82666
63	0.124	540.828125
64	0.126	540.83313
65	0.128	540.575867
66	0.13	540.5578
67	0.132	540.566406
68	0.134	539.786743
69	0.136	540.316895
70	0.138	540.828125
71	0.14	539.7771
72	0.142	540.047852
73	0.144	539.536682
74	0.146	539.783875
75	0.148	540.302979
76	0.15	540.036926
77	0.152	540.572937
78	0.154	540.306824
79	0.156	540.555359
80	0.158	540.033325
81	0.16	539.782593
82	0.162	541.083862
83	0.164	540.296631
84	0.166	540.301086
85	0.168	540.299072
86	0.17	540.811646
87	0.172	540.033752
88	0.174	540.554077
89	0.176	540.806396
90	0.178	540.550964
91	0.18	540.807312
92	0.182	540.536133
93	0.184	540.811035
94	0.186	541.588135
95	0.188	540.550415
96	0.19	540.293945
97	0.192	540.029053
98	0.194	540.020691
99	0.196	540.532288
100	0.198	540.80188
101	0.2	540.792847
102	0.202	539.482178
103	0.204	540.533203
104	0.206	540.004883
105	0.208	539.49585
106	0.21	540.014893
107	0.212	540.004883
108	0.214	540.008179
109	0.216	540.276611
110	0.218	540.004944
111	0.22	540.268921
112	0.222	540.526733
113	0.224	539.482544
114	0.226	540.005615
115	0.228	539.737305
116	0.23	540.26123
117	0.232	540.524231
118	0.234	539.744019
119	0.236	540.254639
120	0.238	540.520142
121	0.24	539.736328
122	0.242	540.779419
123	0.244	539.992065
124	0.246	539.722839
125	0.248	540.255493
126	0.25	540.518372
127	0.252	539.47583
128	0.254	539.728638
129	0.256	539.98645
130	0.258	540.254395
131	0.26	540.253784
132	0.262	540.501587
133	0.264	540.506226
134	0.266	540.243225
135	0.268	540.501831
136	0.27	540.51062
137	0.272	539.984192
138	0.274	540.77417
139	0.276	540.763855
140	0.278	541.037659
141	0.28	541.0271
142	0.282	540.763
143	0.284	539.720215
144	0.286	540.245361
145	0.288	540.246521
146	0.29	539.466431
147	0.292	541.03125
148	0.294	541.036499
149	0.296	540.504883
150	0.298	540.251221
151	0.3	539.460938
152	0.302	539.721069
153	0.304	539.720337
154	0.306	539.980957
155	0.308	539.973022
156	0.31	540.234985
157	0.312	540.230835
158	0.314	540.761597
159	0.316	541.017944
160	0.318	540.752686
161	0.32	541.010864
162	0.322	541.009705
163	0.324	541.281372
164	0.326	541.527649
165	0.328	541.007263
166	0.33	540.750061
167	0.332	541.014526
168	0.334	540.227417
169	0.336	540.225647
170	0.338	540.48584
171	0.34	540.482666
172	0.342	540.490967
173	0.344	539.9646
174	0.346	539.710327
175	0.348	541.269287
176	0.35	540.219849
177	0.352	541.266113
178	0.354	540.742798
179	0.356	539.964722
180	0.358	540.744263
181	0.36	540.494995
182	0.362	540.752197
183	0.364	540.231934
184	0.366	540.219238
185	0.368	540.227417
186	0.37	540.995972
187	0.372	540.224854
188	0.374	540.737793
189	0.376	539.951233
190	0.378	540.479248
191	0.38	540.479797
192	0.382	540.990295
193	0.384	540.72467
194	0.386	540.734497
195	0.388	540.21405
196	0.39	540.473022
197	0.392	540.467712
198	0.394	540.993347
199	0.396	540.722168
200	0.398	541.503784
201	0.4	540.730103
202	0.402	541.251953
203	0.404	540.462708
204	0.406	540.976318
205	0.408	541.488403
206	0.41	540.708191
207	0.412	541.488525
208	0.414	540.978149
209	0.416	540.7146
210	0.418	540.195923
211	0.42	540.967163
212	0.422	541.231445
213	0.424	540.968384
214	0.426	541.231873
215	0.428	540.965454
216	0.43	540.704041
217	0.432	540.957581
218	0.434	540.692688
219	0.436	540.970459
220	0.438	540.438965
221	0.44	540.435669
222	0.442	541.213928
223	0.444	540.436279
224	0.446	540.173767
225	0.448	539.917908
226	0.45	540.697327
227	0.452	539.91272
228	0.454	539.130005
229	0.456	539.646057
230	0.458	538.873047
231	0.46	539.651611
232	0.462	539.902405
233	0.464	539.904053
234	0.466	539.384399
235	0.468	540.693542
236	0.47	539.635742
237	0.472	539.643005
238	0.474	538.852539
239	0.476	539.634277
240	0.478	539.898071
241	0.48	540.157593
242	0.482	539.901123
243	0.484	540.682373
244	0.486	540.40509
245	0.488	539.886475
246	0.49	539.366089
247	0.492	539.885864
248	0.494	540.143433
249	0.496	540.151855
250	0.498	540.396118
251	0.5	539.881714
252	0.502	541.193665
253	0.504	540.678955
254	0.506	540.671875
255	0.508	540.419678
256	0.51	540.401001
257	0.512	539.895569
258	0.514	540.152466
259	0.516	540.16272
260	0.518	540.417847
261	0.52	540.682739
262	0.522	540.168457
263	0.524	539.119019
264	0.526	539.636475
265	0.528	539.902527
266	0.53	540.162842
267	0.532	539.642334
268	0.534	540.164917
269	0.536	540.42041
270	0.538	539.39032
271	0.54	539.906616
272	0.542	539.646118
273	0.544	539.65625
274	0.546	539.644531
275	0.548	540.169678
276	0.55	539.646057
277	0.552	540.417725
278	0.554	539.90332
279	0.556	540.157593
280	0.558	540.429504
281	0.56	541.209534
282	0.562	539.89978
283	0.564	540.172729
284	0.566	540.956909
285	0.568	540.955811
286	0.57	540.42627
287	0.572	540.688904
288	0.574	540.701172
289	0.576	539.915161
290	0.578	539.919556
291	0.58	540.171387
292	0.582	539.662598
293	0.584	540.182007
294	0.586	539.90918
295	0.588	540.457825
296	0.59	539.924194
297	0.592	539.147461
298	0.594	539.661072
299	0.596	539.661072
300	0.598	539.91449
301	0.6	538.875488
302	0.602	539.935669
303	0.604	540.207153
304	0.606	539.93396
305	0.608	539.145996
306	0.61	539.14856
307	0.612	539.6745
308	0.614	539.674988
309	0.616	539.157776
310	0.618	538.89563
311	0.62	539.680847
312	0.622	539.664063
313	0.624	539.946899
314	0.626	539.156372
315	0.628	539.682617
316	0.63	539.42334
317	0.632	539.166138
318	0.634	539.421082
319	0.636	539.432739
320	0.638	540.194458
321	0.64	539.673157
322	0.642	539.930969
323	0.644	538.893799
324	0.646	539.931946
325	0.648	539.417358
326	0.65	538.888916
327	0.652	539.412964
328	0.654	539.159241
329	0.656	540.191772
330	0.658	539.412964
331	0.66	539.936646
332	0.662	539.142822
333	0.664	539.152344
334	0.666	539.928345
335	0.668	540.195313
336	0.67	539.947449
337	0.672	540.192932
338	0.674	540.463684
339	0.676	539.94104
340	0.678	540.200195
341	0.68	540.199463
342	0.682	539.143372
343	0.684	539.668518
344	0.686	539.664001
345	0.688	539.398621
346	0.69	540.182007
347	0.692	540.698792
348	0.694	540.967163
349	0.696	540.712769
