	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d
	TIME	FS1_1
	FRAME_NUMBERS	FORCE
	ORIGINAL	ORIGINAL
ITEM	X	Y
1	0.000000	540.832275
2	0.002000	539.796509
3	0.004000	539.538696
4	0.006000	539.266907
5	0.008000	540.057312
6	0.010000	540.308472
7	0.012000	540.037598
8	0.014000	539.788696
9	0.016000	540.567932
10	0.018000	539.793579
11	0.020000	540.039185
12	0.022000	540.307129
13	0.024000	540.050476
14	0.026000	541.092712
15	0.028000	540.561401
16	0.030000	540.574463
17	0.032000	540.583496
18	0.034000	541.346680
19	0.036000	541.094788
20	0.038000	541.085938
21	0.040000	541.352600
22	0.042000	541.347656
23	0.044000	540.820984
24	0.046000	541.095032
25	0.048000	541.354614
26	0.050000	541.086243
27	0.052000	540.834839
28	0.054000	540.830444
29	0.056000	540.323669
30	0.058000	540.567017
31	0.060000	540.308350
32	0.062000	540.044067
33	0.064000	539.784058
34	0.066000	539.535950
35	0.068000	540.051025
36	0.070000	539.267822
37	0.072000	540.039551
38	0.074000	539.262817
39	0.076000	539.518555
40	0.078000	540.043945
41	0.080000	539.785400
42	0.082000	540.306824
43	0.084000	540.300293
44	0.086000	540.035034
45	0.088000	540.559937
46	0.090000	540.055420
47	0.092000	539.783325
48	0.094000	540.305359
49	0.096000	540.308716
50	0.098000	539.788208
51	0.100000	540.045166
52	0.102000	540.043823
53	0.104000	540.305298
54	0.106000	540.817139
55	0.108000	540.038635
56	0.110000	540.562134
57	0.112000	540.295837
58	0.114000	539.792847
59	0.116000	540.560669
60	0.118000	540.564331
61	0.120000	540.570190
62	0.122000	540.826660
63	0.124000	540.828125
64	0.126000	540.833130
65	0.128000	540.575867
66	0.130000	540.557800
67	0.132000	540.566406
68	0.134000	539.786743
69	0.136000	540.316895
70	0.138000	540.828125
71	0.140000	539.777100
72	0.142000	540.047852
73	0.144000	539.536682
74	0.146000	539.783875
75	0.148000	540.302979
76	0.150000	540.036926
77	0.152000	540.572937
78	0.154000	540.306824
79	0.156000	540.555359
80	0.158000	540.033325
81	0.160000	539.782593
82	0.162000	541.083862
83	0.164000	540.296631
84	0.166000	540.301086
85	0.168000	540.299072
86	0.170000	540.811646
87	0.172000	540.033752
88	0.174000	540.554077
89	0.176000	540.806396
90	0.178000	540.550964
91	0.180000	540.807312
92	0.182000	540.536133
93	0.184000	540.811035
94	0.186000	541.588135
95	0.188000	540.550415
96	0.190000	540.293945
97	0.192000	540.029053
98	0.194000	540.020691
99	0.196000	540.532288
100	0.198000	540.801880
101	0.200000	540.792847
102	0.202000	539.482178
103	0.204000	540.533203
104	0.206000	540.004883
105	0.208000	539.495850
106	0.210000	540.014893
107	0.212000	540.004883
108	0.214000	540.008179
109	0.216000	540.276611
110	0.218000	540.004944
111	0.220000	540.268921
112	0.222000	540.526733
113	0.224000	539.482544
114	0.226000	540.005615
115	0.228000	539.737305
116	0.230000	540.261230
117	0.232000	540.524231
118	0.234000	539.744019
119	0.236000	540.254639
120	0.238000	540.520142
121	0.240000	539.736328
122	0.242000	540.779419
123	0.244000	539.992065
124	0.246000	539.722839
125	0.248000	540.255493
126	0.250000	540.518372
127	0.252000	539.475830
128	0.254000	539.728638
129	0.256000	539.986450
130	0.258000	540.254395
131	0.260000	540.253784
